Product_Name,Stars,Ratings,Reviews,current_price,MRP,channel,Operating_system,Picture_qualtiy,Speaker,Frequency,,,
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,,,
Adsun,3.8,6742,930,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
LG,4.4,38870,3443,₹16499,₹21990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,HD Ready 1366 x 768 Pixels,10 W Speaker Output,50 Hz Refresh Rate,,,
OnePlus,4.3,101256,9189,₹16499,₹21999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Xiaomi,4.3,3120,305,₹15499,₹24999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.4,53639,4811,₹15999,₹22900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
OnePlus,4.3,101256,9189,₹15499,₹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
LG,4.4,5830,698,₹32990,₹59990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
OnePlus,4.3,101256,9189,₹25999,₹31999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Vu,4.4,32043,4978,₹30990,₹45000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
OnePlus,4.3,101256,9189,₹22999,₹27999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
MarQ,4.2,6251,764,₹8999,₹19999,HD Ready 1366 X 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty on Product,,,
OnePlus,4.3,101256,9189,₹24999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
Xiaomi,4.3,3120,305,₹22999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Vu,4.2,5635,632,₹12999,₹20000,Netflix|Prime Video|Youtube,Operating System: Linux,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.3,40877,3658,₹31999,₹49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹16999,₹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
realme,4.3,26103,2299,₹13499,₹21999,Youtube,Operating System: Linux,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
realme,4.3,197035,22679,₹15499,₹17999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
acer,4.4,5449,897,₹13999,₹22990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.4,7344,883,₹35999,₹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Thomson,4.4,67598,14655,₹20999,₹27999,Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
iFFALCON,4.3,18688,2568,₹33999,₹70990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.3,34983,3067,₹21999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Vu,4.4,32043,4978,₹27999,₹45000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24W Speaker Output,60 Hz Refresh Rate,,,
OnePlus,4.4,8883,989,₹40990,₹49999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
Xiaomi,4.3,3120,305,₹25999,₹35999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
Thomson,4.2,0,0,₹9999,₹14999,Prime Video|Youtube,Operating System: Linux,HD Ready 1366 x 768 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
iFFALCON,4.3,15277,2435,₹18999,₹36990,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,,,
Adsun,3.8,6742,930,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Yuwa,0,0,0,₹8449,₹21990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
acer,4.4,5449,897,₹25999,₹31990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.3,34983,3067,₹16499,₹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
realme,4.3,197035,22679,₹21999,₹31999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
SONY,4.6,844,174,₹23990,₹34900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
realme,4.2,7279,982,₹17999,₹23999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1080 x 1920 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6742,930,₹16999,₹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.3,40877,3658,₹40999,₹59999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,40 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.4,7344,883,₹55490,₹80900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
MarQ,4.2,6251,764,₹6999,₹14999,HD Ready 1366 X 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty on Product,,,
SAMSUNG,4.4,7344,883,₹35999,₹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Mi,4.3,40871,3658,₹35999,₹41999,Netflix|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.3,6698,705,₹49990,₹69900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
LG,4.4,7541,658,₹29999,₹40990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: WebOS,Full HD 1920 x 1080 Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Croma,4.2,1773,217,₹7990,₹20000,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,1 Year Warranty,,,
acer,4.4,5445,897,₹25999,₹34990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
realme,4.3,25089,2931,₹29999,₹32999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.3,7540,798,₹17490,₹20900,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6730,929,₹8699,₹21999,Netflix|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Coocaa,4.2,14815,2326,₹10499,₹36990,Youtube,Operating System: Coolita,HD Ready 1366 x768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
realme,4.3,197032,22678,₹24999,₹35999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,24 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.4,7341,883,₹35999,₹47900,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) Crystal 4K FE UHD (3840 x 2160) Pixels,20 W Speaker Output,50 Hz Refresh Rate,,,
Croma,4.3,0,0,₹11990,₹25000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
OnePlus,4.4,8883,989,₹63990,₹69999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840 x 2160 Pixels,30 W Speaker Output,60 Hz Refresh Rate,,,
SAMSUNG,4.4,7341,883,₹47990,₹71400,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
TOSHIBA,4.6,0,0,₹22990,₹34990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6730,929,₹8999,₹29999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.4,663035,67204,₹14999,₹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Sansui,0,0,0,₹10999,₹17990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,2 x HDMI | 2 x USB,A+ Grade Panel,,,
Hisense,4.2,0,0,₹13990,₹24990,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Croma,3.9,0,0,₹18990,₹30000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920 x 1080 Pixels,20 Speaker Output,60 Hz Refresh Rate,,,
MOTOROLA,0,0,0,₹54999,₹63999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Ultra HD (4K) 3840×2160 Pixels,60 W Speaker Output,60 Hz Refresh Rate,,,
InnoQ,4.1,0,0,₹7690,₹21990,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,1 x HDMI | 2 x USB,A+ Grade Premium Dot Free Panel,,,
SAMSUNG,4.3,6698,705,₹45990,₹68400,Netflix|Disney+Hotstar|Youtube,Operating System: Tizen,Ultra HD (4K) 3840 x 2160 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Adsun,3.8,6730,929,₹16999,₹39999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android Based,Full HD 1920 x 1080 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
Vu,4.2,5635,632,₹22999,₹35000,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,Full HD 1920x1080 Pixels,30W Speaker Output,60 Hz Refresh Rate,,,
Mi,4.3,5490,400,₹14999,₹19999,Netflix|Prime Video|Disney+Hotstar|Youtube,Operating System: Android,HD Ready 1366 x 768 Pixels,20 W Speaker Output,60 Hz Refresh Rate,,,
